Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
29930147791,[d'Alba Official] Kem chống nắng Nâng tone Xanh lá White Truffle Tone Up Green Correcting Suncream 50ml,"506,9k",8k+,d'Alba Official Store,15%,₫76.032,https://shopee.vn/product/562665255/29930147791,https://s.shopee.vn/70CKNbSEPg
28166674195,"[d'Alba Official] Combo Chăm sóc và bảo vệ da (Serum dạng xịt làm dịu và cấp ẩm 100ml, Kem chống nắng tông màu tím 50ml)","975,3k",2k+,d'Alba Official Store,10%,₫97.530,https://shopee.vn/product/562665255/28166674195,https://s.shopee.vn/7AVkZuRb4j
28473018197,"[d'Alba Official] SET quà tặng độc quyền bản giới hạn (Mist Serum 100ml, Vita Capsule Serum 50ml, Móc khóa kem tay)","940,5k",1k+,d'Alba Official Store,10%,₫94.050,https://shopee.vn/product/562665255/28473018197,https://s.shopee.vn/6fZTyzTV5e
23552060269,"Giấy vệ sinh treo tường TopGia đa sắc đa năng từ bột giấy thiên nhiên, 1280tờ/4lớp","125,0k",1tr+,TopGia HCM Store,9%,₫11.250,https://shopee.vn/product/1016604648/23552060269,https://s.shopee.vn/6psuBISrkh
10402966829,"[Torriden Chính hãng] Serum DIVE IN chứa Hyaluronic Acid, 50ml, 50ml+50ml, Serum","299,2k",200k+,VN_Torriden Official Store,15%,₫44.880,https://shopee.vn/product/436346871/10402966829,https://s.shopee.vn/7fS1ApPh3s
11316158786,Vaseline Body Tone-Up Sữa dưỡng thể nâng tông tức thì 300ML,"145,0k",100k+,Unilever - Chăm Sóc Cá Nhân,10%,₫14.500,https://shopee.vn/product/111138057/11316158786,https://s.shopee.vn/7plRN8P3iv
21771607962,"[Torriden Chính hãng] [SET] Serum và kem dưỡng làm dịu da DIVE IN, 50ml+100ml","545,2k",40k+,VN_Torriden Official Store,15%,₫81.777,https://shopee.vn/product/436346871/21771607962,https://s.shopee.vn/7KpAmDQxjq
23258487489,"[SIZE XL - PREMIUM] Giấy vệ sinh treo tường Top Gia 1280 tờ 4 lớp đa năng cao cấp tiện lợi, mềm mại","129,0k",20k+,TopGia HCM Store,8%,₫10.320,https://shopee.vn/product/1016604648/23258487489,https://s.shopee.vn/7V8ayWQKOt
21960033553,"[Torriden Chính hãng] Gel làm sạch da BALANCEFUL CICA, 200ml, Cleansing Gel","257,4k",7k+,VN_Torriden Official Store,15%,₫38.610,https://shopee.vn/product/436346871/21960033553,https://s.shopee.vn/5fgwn9XJ7Y
20567055749,[CHÍNH HÃNG ĐỘC QUYỀN] Smoothie Tẩy Tế Bào Chết Body Dove Chăm Da Sáng Mịn 298g,"166,0k",600k+,Unilever - Chăm Sóc Cá Nhân,9%,₫14.940,https://shopee.vn/product/111138057/20567055749,https://s.shopee.vn/5q0MzSWfmb
14890300135,"[Dung Tích Lớn] Dầu Gội Nam Xmen 900g Wood/Fire/Metal - Dung Tích Lớn, Mùi Hương Nam Tính 2X Sạch Sâu","175,0k",8k+,X-men Official Store,14%,₫24.500,https://shopee.vn/product/93949212/14890300135,https://s.shopee.vn/5L46OXYZnW
7519041067,Dung dịch làm sạch và tẩy trang công nghệ Micellar cho da thường & nhạy cảm Bioderma Sensibio H2O - 500ml,"439,0k",100k+,Bioderma Official Store,10%,₫43.900,https://shopee.vn/product/233692311/7519041067,https://s.shopee.vn/5VNWaqXwSZ
19061194166,[Beyond Official] Kem dưỡng ẩm Tinh Linh Nước làm dịu Beyond Angel Aqua Moisture Cream,"264,0k",60k+,Beyond Official Store,13%,₫34.320,https://shopee.vn/product/898302087/19061194166,https://s.shopee.vn/6KwdaNUllk
23318918089,Dầu Tắm ÔLIV 3X Dưỡng Ẩm/Dưỡng Sáng Da/Dành Cho Làn Da Nhạy Cảm 250ML/650ML/1L,"68,0k",50k+,LASHE SUPERFOOD | PURITÉ,17%,₫11.560,https://shopee.vn/product/779659055/23318918089,https://s.shopee.vn/6VG3mgU8Qn
